"","lambda","z","UE","SE","Sm","Sn","E"
"1",0.48,0.05,0,0.4577,0.46355,0.045325,0.033425
"2",0.49,0.05,0,0.449775,0.47165,0.04465,0.033925
"3",0.5,0.05,0,0.441875,0.479675,0.043925,0.034525
"4",0,0.1,0,0.868075,0.062925,0.062925,0.006075
"5",0.01,0.1,0,0.86285,0.071375,0.059225,0.00655
"6",0.02,0.1,0,0.8564,0.0802,0.056275,0.007125
"7",0.03,0.1,0,0.849025,0.088675,0.054625,0.007675
"8",0.04,0.1,0,0.840175,0.09735,0.054275,0.0082
"9",0.05,0.1,0,0.83105,0.106025,0.054075,0.00885
"10",0.06,0.1,0,0.821925,0.1146,0.0541,0.009375
"11",0.09,0,0,0.7686,0.1464,0.0714,0.0136
"12",0.07,0.1,0,0.812775,0.123175,0.054075,0.009975
"13",0.08,0.1,0,0.8034,0.132225,0.05395,0.010425
"14",0.09,0.1,0,0.794225,0.140675,0.054175,0.010925
"15",0.1,0.1,0,0.78485,0.1494,0.054275,0.011475
"16",0.11,0.1,0,0.775425,0.1581,0.054475,0.012
"17",0.12,0.1,0,0.766475,0.166575,0.05435,0.0126
"18",0.13,0.1,0,0.75685,0.175475,0.054525,0.01315
"19",0.14,0.1,0,0.7476,0.183925,0.05485,0.013625
"20",0.15,0.1,0,0.738225,0.192525,0.055025,0.014225
"21",0.16,0.1,0,0.728675,0.2014,0.05525,0.014675
"22",0.1,0,0,0.75945,0.15555,0.07055,0.01445
"23",0.17,0.1,0,0.7193,0.210075,0.055475,0.01515
"24",0.18,0.1,0,0.71005,0.218575,0.055725,0.01565
"25",0.19,0.1,0,0.7006,0.227425,0.05575,0.016225
"26",0.2,0.1,0,0.69165,0.235725,0.055875,0.01675
"27",0.21,0.1,0,0.68235,0.244375,0.056025,0.01725
"28",0.22,0.1,0,0.67295,0.2532,0.056125,0.017725
"29",0.23,0.1,0,0.66405,0.2615,0.056175,0.018275
"30",0.24,0.1,0,0.654825,0.27015,0.05615,0.018875
"31",0.25,0.1,0,0.6458,0.278675,0.05615,0.019375
"32",0.26,0.1,0,0.63695,0.287275,0.056025,0.01975
"33",0.11,0,0,0.754875,0.160125,0.070125,0.014875
"34",0.27,0.1,0,0.628025,0.295875,0.05585,0.02025
"35",0.28,0.1,0,0.61925,0.3044,0.0557,0.02065
"36",0.29,0.1,0,0.6106,0.312775,0.055425,0.0212
"37",0.3,0.1,0,0.601775,0.321425,0.05515,0.02165
"38",0.31,0.1,0,0.59325,0.32975,0.05485,0.02215
"39",0.32,0.1,0,0.5846,0.3383,0.05435,0.02275
"40",0.33,0.1,0,0.576125,0.346725,0.053925,0.023225
"41",0.34,0.1,0,0.567875,0.3551,0.053275,0.02375
"42",0.35,0.1,0,0.559325,0.3636,0.0528,0.024275
"43",0.36,0.1,0,0.55075,0.371975,0.052525,0.02475
"44",0.12,0,0,0.745725,0.169275,0.069275,0.015725
"45",0.37,0.1,0,0.542425,0.380225,0.052075,0.025275
"46",0.38,0.1,0,0.533925,0.3886,0.051575,0.0259
"47",0.39,0.1,0,0.5254,0.397125,0.05115,0.026325
"48",0.4,0.1,0,0.51725,0.4054,0.0506,0.02675
"49",0.41,0.1,0,0.50885,0.4139,0.0501,0.02715
"50",0.42,0.1,0,0.500325,0.42245,0.0496,0.027625
"51",0.43,0.1,0,0.49235,0.43055,0.048975,0.028125
"52",0.44,0.1,0,0.483975,0.439,0.048425,0.0286
"53",0.45,0.1,0,0.47565,0.447375,0.0479,0.029075
"54",0.46,0.1,0,0.467575,0.4556,0.047225,0.0296
